"Sources: UNESCO Institute for statistics ; World Bank, World Development Indicators online database ; United Nations Population Division ; Gapminder.org, 2010. Data: 2000 to 2009.",,,,
,,,,
"SEE FOLLOWING SHEETS FOR RAW DATA AND LINKS",,,,
,,,,
"Fertility versus female literacy by country",,,,
,,"most recent value",,
,,"or estimate (2002 to 2008)",2009,2008
"Country ",Continent,"female literacy",fertility,population
"Rép. démocratique populaire lao",ASI,63.2,3.415,6205341
"El Salvador",LAT,81.4,2.295,6133910
Jordanie,ASI,88.9,3.0190000000000001279,5906042.8715003402904
Nicaragua,LAT,77.9,2.6829999999999998295,5667325
"Sierra Leone",AF,28.9,5.165,5559853
Denmark,EUR,99,1.8489999999999999769,5493621
Finland,EUR,100,1.8360000000000000764,5313399
Kirghizistan,ASI,99.1,2.517999999999999794,5277900
Turkménistan,ASI,99.3,2.43,5043618
Erythrée,AF,54.5,4.5279999999999995808,4926877
Singapour,ASI,91.6,1.2629999999999999005,4839400
Norway,EUR,100,1.885,4768212
"Costa Rica",LAT,96.2,1.9430000000000000604,4519126
"Emirats arabes unis",ASI,91.5,1.8990000000000000213,4484935
Croatie,EUR,98,1.4419999999999999485,4434000
Ireland,EUR,99,1.9530000000000000693,4425675
"République centrafricaine",AF,41.1,4.697000000000000064,4339263
Géorgie,ASI,99.7,1.5820000000000000728,4307011
"New Zealand",OCE,99,2.025,4268900
Liban,ASI,86,1.8409999999999999698,4193758
Libéria,AF,53,5.011000000000000121,3793400
Bosnie-Herzégovine,EUR,95.9,1.2119999999999999662,3773100
"République de Moldova",EUR,97.8,1.5020000000000000018,3633369
Panama,LAT,92.8,2.5160000000000000142,3398823
Lituanie,EUR,99.7,1.3669999999999999929,3358115
Uruguay,LAT,98.5,2.088999999999999968,3334052
Mauritanie,AF,49.5,4.3879999999999999005,3215043
Albanie,EUR,98.7,1.8540000000000000924,3143291
Arménie,ASI,99.4,1.7479999999999999982,3077087
Oman,ASI,80.9,2.9780000000000002025,2785361
Koweït,ASI,93.1,2.152000000000000135,2728040.8394804601558
Jamaïque,LAT,90.8,2.3620000000000000995,2687200
Mongolie,ASI,97.8,1.9879999999999999893,2641216
Lettonie,EUR,99.8,1.4259999999999999343,2266094
Namibie,AF,87.7,3.29,2129854
Lesotho,AF,95.1,3.2639999999999997904,2049429
"L'ex-Rép. yougoslave de Macédoine",EUR,95.4,1.4359999999999999432,2041342
Slovénie,EUR,99.7,1.393000000000000016,2021316
Botswana,AF,83.5,2.822000000000000064,1921122
Gambie,AF,34.3,4.9690000000000003055,1660200
Guinée-Bissau,AF,36.5,5.658999999999999808,1575446
Gabon,AF,83.2,3.24,1448159
Estonie,EUR,99.8,1.6930000000000000604,1340675
Trinité-et-Tobago,LAT,98.2,1.6470000000000000195,1333388
Qatar,ASI,90.4,2.3599999999999999999,1280862
Maurice,AF,84.8,1.7920000000000000373,1268854
Swaziland,AF,85.6,3.45,1167834
Chypre,EUR,96.7,1.5160000000000000142,862434
Bahreïn,ASI,89.4,2.233000000000000096,775585
Bhoutan,ASI,38.7,2.563000000000000167,686789
"Guinée équatoriale",AF,89.1,5.2830000000000003624,659197
Comores,AF,67.8,3.885,643571.3128385740565
"Macao, Chine",ASI,90.7,0.9659999999999999698,526178
Suriname,LAT,88.4,2.3730000000000002203,515124
Cap-Vert,AF,79.3,2.6629999999999998117,498672
Malte,EUR,93.5,1.2509999999999998899,411950
"Brunéi Darussalam",ASI,93.3,2.0520000000000000462,392280
Bahamas,LAT,96.5,3.3709999999999999964,337668
Iceland,EUR,99,2.0929999999999999716,317414
Maldives,ASI,98.4,2,305027
Vanuatu,OCE,79.5,3.883000000000000007,233866
Samoa,OCE,98.5,3.8519999999999998685,178869
"Sao Tomé-et-Principe",AF,83.3,3.7179999999999999716,160174
Aruba,LAT,98,1.731999999999999984,105455
Tonga,ASI,99.1,3.927999999999999936,103566
Antigua-et-Barbuda,,99.4,,
"Antilles néerlandaises",,96.3,,
"Iles Caïmanes",,99,,
Seychelles,,92.3,,
"Territoires autonomes palestiniens",,90.9,,
WORLD,WORLD,77,,
